sender,subject,body,label
alerts@bank-secure.com,Mailbox storage exceeded,Urgent action required to verify your password using the secure link below,phishing
alerts@bank-secure.com,Mailbox storage exceeded,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
alerts@bank-secure.com,Mailbox storage exceeded,We detected unusual activity and need you to confirm your identity immediately,phishing
alerts@bank-secure.com,Mailbox storage exceeded,Click the secure portal to avoid permanent account closure and restore service,phishing
alerts@bank-secure.com,Mailbox storage exceeded,You have won a prize and must verify card details now to receive it,phishing
alerts@bank-secure.com,Mailbox storage exceeded,Open the attached document and sign in to review the protected file,phishing
alerts@bank-secure.com,Mailbox storage exceeded,Your payroll record is pending and requires employee credentials for release,phishing
alerts@bank-secure.com,Mailbox storage exceeded,Update your banking profile now to remove the temporary suspension on your account,phishing
alerts@bank-secure.com,Mailbox storage exceeded,Validate your mailbox password now or your messages will be deleted today,phishing
alerts@bank-secure.com,Mailbox storage exceeded,Confirm your invoice information and login to prevent a service interruption,phishing
alerts@bank-secure.com,Claim your reward today,Urgent action required to verify your password using the secure link below,phishing
alerts@bank-secure.com,Claim your reward today,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
alerts@bank-secure.com,Claim your reward today,We detected unusual activity and need you to confirm your identity immediately,phishing
alerts@bank-secure.com,Claim your reward today,Click the secure portal to avoid permanent account closure and restore service,phishing
alerts@bank-secure.com,Claim your reward today,You have won a prize and must verify card details now to receive it,phishing
alerts@bank-secure.com,Claim your reward today,Open the attached document and sign in to review the protected file,phishing
alerts@bank-secure.com,Claim your reward today,Your payroll record is pending and requires employee credentials for release,phishing
alerts@bank-secure.com,Claim your reward today,Update your banking profile now to remove the temporary suspension on your account,phishing
alerts@bank-secure.com,Claim your reward today,Validate your mailbox password now or your messages will be deleted today,phishing
alerts@bank-secure.com,Claim your reward today,Confirm your invoice information and login to prevent a service interruption,phishing
alerts@bank-secure.com,Payroll access verification,Urgent action required to verify your password using the secure link below,phishing
alerts@bank-secure.com,Payroll access verification,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
alerts@bank-secure.com,Payroll access verification,We detected unusual activity and need you to confirm your identity immediately,phishing
alerts@bank-secure.com,Payroll access verification,Click the secure portal to avoid permanent account closure and restore service,phishing
alerts@bank-secure.com,Payroll access verification,You have won a prize and must verify card details now to receive it,phishing
alerts@bank-secure.com,Payroll access verification,Open the attached document and sign in to review the protected file,phishing
alerts@bank-secure.com,Payroll access verification,Your payroll record is pending and requires employee credentials for release,phishing
alerts@bank-secure.com,Payroll access verification,Update your banking profile now to remove the temporary suspension on your account,phishing
alerts@bank-secure.com,Payroll access verification,Validate your mailbox password now or your messages will be deleted today,phishing
alerts@bank-secure.com,Payroll access verification,Confirm your invoice information and login to prevent a service interruption,phishing
alerts@bank-secure.com,Reset your password immediately,Urgent action required to verify your password using the secure link below,phishing
alerts@bank-secure.com,Reset your password immediately,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
alerts@bank-secure.com,Reset your password immediately,We detected unusual activity and need you to confirm your identity immediately,phishing
alerts@bank-secure.com,Reset your password immediately,Click the secure portal to avoid permanent account closure and restore service,phishing
alerts@bank-secure.com,Reset your password immediately,You have won a prize and must verify card details now to receive it,phishing
alerts@bank-secure.com,Reset your password immediately,Open the attached document and sign in to review the protected file,phishing
alerts@bank-secure.com,Reset your password immediately,Your payroll record is pending and requires employee credentials for release,phishing
alerts@bank-secure.com,Reset your password immediately,Update your banking profile now to remove the temporary suspension on your account,phishing
alerts@bank-secure.com,Reset your password immediately,Validate your mailbox password now or your messages will be deleted today,phishing
alerts@bank-secure.com,Reset your password immediately,Confirm your invoice information and login to prevent a service interruption,phishing
alerts@bank-secure.com,Unusual sign in attempt detected,Urgent action required to verify your password using the secure link below,phishing
alerts@bank-secure.com,Unusual sign in attempt detected,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
alerts@bank-secure.com,Unusual sign in attempt detected,We detected unusual activity and need you to confirm your identity immediately,phishing
alerts@bank-secure.com,Unusual sign in attempt detected,Click the secure portal to avoid permanent account closure and restore service,phishing
alerts@bank-secure.com,Unusual sign in attempt detected,You have won a prize and must verify card details now to receive it,phishing
alerts@bank-secure.com,Unusual sign in attempt detected,Open the attached document and sign in to review the protected file,phishing
alerts@bank-secure.com,Unusual sign in attempt detected,Your payroll record is pending and requires employee credentials for release,phishing
alerts@bank-secure.com,Unusual sign in attempt detected,Update your banking profile now to remove the temporary suspension on your account,phishing
alerts@bank-secure.com,Unusual sign in attempt detected,Validate your mailbox password now or your messages will be deleted today,phishing
alerts@bank-secure.com,Unusual sign in attempt detected,Confirm your invoice information and login to prevent a service interruption,phishing
alerts@bank-secure.com,Invoice failed please confirm,Urgent action required to verify your password using the secure link below,phishing
alerts@bank-secure.com,Invoice failed please confirm,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
alerts@bank-secure.com,Invoice failed please confirm,We detected unusual activity and need you to confirm your identity immediately,phishing
alerts@bank-secure.com,Invoice failed please confirm,Click the secure portal to avoid permanent account closure and restore service,phishing
alerts@bank-secure.com,Invoice failed please confirm,You have won a prize and must verify card details now to receive it,phishing
alerts@bank-secure.com,Invoice failed please confirm,Open the attached document and sign in to review the protected file,phishing
alerts@bank-secure.com,Invoice failed please confirm,Your payroll record is pending and requires employee credentials for release,phishing
alerts@bank-secure.com,Invoice failed please confirm,Update your banking profile now to remove the temporary suspension on your account,phishing
alerts@bank-secure.com,Invoice failed please confirm,Validate your mailbox password now or your messages will be deleted today,phishing
alerts@bank-secure.com,Invoice failed please confirm,Confirm your invoice information and login to prevent a service interruption,phishing
alerts@bank-secure.com,KYC update required today,Urgent action required to verify your password using the secure link below,phishing
alerts@bank-secure.com,KYC update required today,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
alerts@bank-secure.com,KYC update required today,We detected unusual activity and need you to confirm your identity immediately,phishing
alerts@bank-secure.com,KYC update required today,Click the secure portal to avoid permanent account closure and restore service,phishing
alerts@bank-secure.com,KYC update required today,You have won a prize and must verify card details now to receive it,phishing
alerts@bank-secure.com,KYC update required today,Open the attached document and sign in to review the protected file,phishing
alerts@bank-secure.com,KYC update required today,Your payroll record is pending and requires employee credentials for release,phishing
alerts@bank-secure.com,KYC update required today,Update your banking profile now to remove the temporary suspension on your account,phishing
alerts@bank-secure.com,KYC update required today,Validate your mailbox password now or your messages will be deleted today,phishing
alerts@bank-secure.com,KYC update required today,Confirm your invoice information and login to prevent a service interruption,phishing
support@wallet-check.com,Verify your account now,Urgent action required to verify your password using the secure link below,phishing
support@wallet-check.com,Verify your account now,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
support@wallet-check.com,Verify your account now,We detected unusual activity and need you to confirm your identity immediately,phishing
support@wallet-check.com,Verify your account now,Click the secure portal to avoid permanent account closure and restore service,phishing
support@wallet-check.com,Verify your account now,You have won a prize and must verify card details now to receive it,phishing
support@wallet-check.com,Verify your account now,Open the attached document and sign in to review the protected file,phishing
support@wallet-check.com,Verify your account now,Your payroll record is pending and requires employee credentials for release,phishing
support@wallet-check.com,Verify your account now,Update your banking profile now to remove the temporary suspension on your account,phishing
support@wallet-check.com,Verify your account now,Validate your mailbox password now or your messages will be deleted today,phishing
support@wallet-check.com,Verify your account now,Confirm your invoice information and login to prevent a service interruption,phishing
support@wallet-check.com,Account suspended notice,Urgent action required to verify your password using the secure link below,phishing
support@wallet-check.com,Account suspended notice,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
support@wallet-check.com,Account suspended notice,We detected unusual activity and need you to confirm your identity immediately,phishing
support@wallet-check.com,Account suspended notice,Click the secure portal to avoid permanent account closure and restore service,phishing
support@wallet-check.com,Account suspended notice,You have won a prize and must verify card details now to receive it,phishing
support@wallet-check.com,Account suspended notice,Open the attached document and sign in to review the protected file,phishing
support@wallet-check.com,Account suspended notice,Your payroll record is pending and requires employee credentials for release,phishing
support@wallet-check.com,Account suspended notice,Update your banking profile now to remove the temporary suspension on your account,phishing
support@wallet-check.com,Account suspended notice,Validate your mailbox password now or your messages will be deleted today,phishing
support@wallet-check.com,Account suspended notice,Confirm your invoice information and login to prevent a service interruption,phishing
support@wallet-check.com,Security alert on your profile,Urgent action required to verify your password using the secure link below,phishing
support@wallet-check.com,Security alert on your profile,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
support@wallet-check.com,Security alert on your profile,We detected unusual activity and need you to confirm your identity immediately,phishing
support@wallet-check.com,Security alert on your profile,Click the secure portal to avoid permanent account closure and restore service,phishing
support@wallet-check.com,Security alert on your profile,You have won a prize and must verify card details now to receive it,phishing
support@wallet-check.com,Security alert on your profile,Open the attached document and sign in to review the protected file,phishing
support@wallet-check.com,Security alert on your profile,Your payroll record is pending and requires employee credentials for release,phishing
support@wallet-check.com,Security alert on your profile,Update your banking profile now to remove the temporary suspension on your account,phishing
support@wallet-check.com,Security alert on your profile,Validate your mailbox password now or your messages will be deleted today,phishing
support@wallet-check.com,Security alert on your profile,Confirm your invoice information and login to prevent a service interruption,phishing
support@wallet-check.com,Mailbox storage exceeded,Urgent action required to verify your password using the secure link below,phishing
support@wallet-check.com,Mailbox storage exceeded,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
support@wallet-check.com,Mailbox storage exceeded,We detected unusual activity and need you to confirm your identity immediately,phishing
support@wallet-check.com,Mailbox storage exceeded,Click the secure portal to avoid permanent account closure and restore service,phishing
support@wallet-check.com,Mailbox storage exceeded,You have won a prize and must verify card details now to receive it,phishing
support@wallet-check.com,Mailbox storage exceeded,Open the attached document and sign in to review the protected file,phishing
support@wallet-check.com,Mailbox storage exceeded,Your payroll record is pending and requires employee credentials for release,phishing
support@wallet-check.com,Mailbox storage exceeded,Update your banking profile now to remove the temporary suspension on your account,phishing
support@wallet-check.com,Mailbox storage exceeded,Validate your mailbox password now or your messages will be deleted today,phishing
support@wallet-check.com,Mailbox storage exceeded,Confirm your invoice information and login to prevent a service interruption,phishing
support@wallet-check.com,Claim your reward today,Urgent action required to verify your password using the secure link below,phishing
support@wallet-check.com,Claim your reward today,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
support@wallet-check.com,Claim your reward today,We detected unusual activity and need you to confirm your identity immediately,phishing
support@wallet-check.com,Claim your reward today,Click the secure portal to avoid permanent account closure and restore service,phishing
support@wallet-check.com,Claim your reward today,You have won a prize and must verify card details now to receive it,phishing
support@wallet-check.com,Claim your reward today,Open the attached document and sign in to review the protected file,phishing
support@wallet-check.com,Claim your reward today,Your payroll record is pending and requires employee credentials for release,phishing
support@wallet-check.com,Claim your reward today,Update your banking profile now to remove the temporary suspension on your account,phishing
support@wallet-check.com,Claim your reward today,Validate your mailbox password now or your messages will be deleted today,phishing
support@wallet-check.com,Claim your reward today,Confirm your invoice information and login to prevent a service interruption,phishing
support@wallet-check.com,Payroll access verification,Urgent action required to verify your password using the secure link below,phishing
support@wallet-check.com,Payroll access verification,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
support@wallet-check.com,Payroll access verification,We detected unusual activity and need you to confirm your identity immediately,phishing
support@wallet-check.com,Payroll access verification,Click the secure portal to avoid permanent account closure and restore service,phishing
support@wallet-check.com,Payroll access verification,You have won a prize and must verify card details now to receive it,phishing
support@wallet-check.com,Payroll access verification,Open the attached document and sign in to review the protected file,phishing
support@wallet-check.com,Payroll access verification,Your payroll record is pending and requires employee credentials for release,phishing
support@wallet-check.com,Payroll access verification,Update your banking profile now to remove the temporary suspension on your account,phishing
support@wallet-check.com,Payroll access verification,Validate your mailbox password now or your messages will be deleted today,phishing
support@wallet-check.com,Payroll access verification,Confirm your invoice information and login to prevent a service interruption,phishing
support@wallet-check.com,Reset your password immediately,Urgent action required to verify your password using the secure link below,phishing
support@wallet-check.com,Reset your password immediately,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
support@wallet-check.com,Reset your password immediately,We detected unusual activity and need you to confirm your identity immediately,phishing
support@wallet-check.com,Reset your password immediately,Click the secure portal to avoid permanent account closure and restore service,phishing
support@wallet-check.com,Reset your password immediately,You have won a prize and must verify card details now to receive it,phishing
support@wallet-check.com,Reset your password immediately,Open the attached document and sign in to review the protected file,phishing
support@wallet-check.com,Reset your password immediately,Your payroll record is pending and requires employee credentials for release,phishing
support@wallet-check.com,Reset your password immediately,Update your banking profile now to remove the temporary suspension on your account,phishing
support@wallet-check.com,Reset your password immediately,Validate your mailbox password now or your messages will be deleted today,phishing
support@wallet-check.com,Reset your password immediately,Confirm your invoice information and login to prevent a service interruption,phishing
support@wallet-check.com,Unusual sign in attempt detected,Urgent action required to verify your password using the secure link below,phishing
support@wallet-check.com,Unusual sign in attempt detected,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
support@wallet-check.com,Unusual sign in attempt detected,We detected unusual activity and need you to confirm your identity immediately,phishing
support@wallet-check.com,Unusual sign in attempt detected,Click the secure portal to avoid permanent account closure and restore service,phishing
support@wallet-check.com,Unusual sign in attempt detected,You have won a prize and must verify card details now to receive it,phishing
support@wallet-check.com,Unusual sign in attempt detected,Open the attached document and sign in to review the protected file,phishing
support@wallet-check.com,Unusual sign in attempt detected,Your payroll record is pending and requires employee credentials for release,phishing
support@wallet-check.com,Unusual sign in attempt detected,Update your banking profile now to remove the temporary suspension on your account,phishing
support@wallet-check.com,Unusual sign in attempt detected,Validate your mailbox password now or your messages will be deleted today,phishing
support@wallet-check.com,Unusual sign in attempt detected,Confirm your invoice information and login to prevent a service interruption,phishing
support@wallet-check.com,Invoice failed please confirm,Urgent action required to verify your password using the secure link below,phishing
support@wallet-check.com,Invoice failed please confirm,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
support@wallet-check.com,Invoice failed please confirm,We detected unusual activity and need you to confirm your identity immediately,phishing
support@wallet-check.com,Invoice failed please confirm,Click the secure portal to avoid permanent account closure and restore service,phishing
support@wallet-check.com,Invoice failed please confirm,You have won a prize and must verify card details now to receive it,phishing
support@wallet-check.com,Invoice failed please confirm,Open the attached document and sign in to review the protected file,phishing
support@wallet-check.com,Invoice failed please confirm,Your payroll record is pending and requires employee credentials for release,phishing
support@wallet-check.com,Invoice failed please confirm,Update your banking profile now to remove the temporary suspension on your account,phishing
support@wallet-check.com,Invoice failed please confirm,Validate your mailbox password now or your messages will be deleted today,phishing
support@wallet-check.com,Invoice failed please confirm,Confirm your invoice information and login to prevent a service interruption,phishing
support@wallet-check.com,KYC update required today,Urgent action required to verify your password using the secure link below,phishing
support@wallet-check.com,KYC update required today,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
support@wallet-check.com,KYC update required today,We detected unusual activity and need you to confirm your identity immediately,phishing
support@wallet-check.com,KYC update required today,Click the secure portal to avoid permanent account closure and restore service,phishing
support@wallet-check.com,KYC update required today,You have won a prize and must verify card details now to receive it,phishing
support@wallet-check.com,KYC update required today,Open the attached document and sign in to review the protected file,phishing
support@wallet-check.com,KYC update required today,Your payroll record is pending and requires employee credentials for release,phishing
support@wallet-check.com,KYC update required today,Update your banking profile now to remove the temporary suspension on your account,phishing
support@wallet-check.com,KYC update required today,Validate your mailbox password now or your messages will be deleted today,phishing
support@wallet-check.com,KYC update required today,Confirm your invoice information and login to prevent a service interruption,phishing
security@paypaI-alerts.com,Verify your account now,Urgent action required to verify your password using the secure link below,phishing
security@paypaI-alerts.com,Verify your account now,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
security@paypaI-alerts.com,Verify your account now,We detected unusual activity and need you to confirm your identity immediately,phishing
security@paypaI-alerts.com,Verify your account now,Click the secure portal to avoid permanent account closure and restore service,phishing
security@paypaI-alerts.com,Verify your account now,You have won a prize and must verify card details now to receive it,phishing
security@paypaI-alerts.com,Verify your account now,Open the attached document and sign in to review the protected file,phishing
security@paypaI-alerts.com,Verify your account now,Your payroll record is pending and requires employee credentials for release,phishing
security@paypaI-alerts.com,Verify your account now,Update your banking profile now to remove the temporary suspension on your account,phishing
security@paypaI-alerts.com,Verify your account now,Validate your mailbox password now or your messages will be deleted today,phishing
security@paypaI-alerts.com,Verify your account now,Confirm your invoice information and login to prevent a service interruption,phishing
security@paypaI-alerts.com,Account suspended notice,Urgent action required to verify your password using the secure link below,phishing
security@paypaI-alerts.com,Account suspended notice,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
security@paypaI-alerts.com,Account suspended notice,We detected unusual activity and need you to confirm your identity immediately,phishing
security@paypaI-alerts.com,Account suspended notice,Click the secure portal to avoid permanent account closure and restore service,phishing
security@paypaI-alerts.com,Account suspended notice,You have won a prize and must verify card details now to receive it,phishing
security@paypaI-alerts.com,Account suspended notice,Open the attached document and sign in to review the protected file,phishing
security@paypaI-alerts.com,Account suspended notice,Your payroll record is pending and requires employee credentials for release,phishing
security@paypaI-alerts.com,Account suspended notice,Update your banking profile now to remove the temporary suspension on your account,phishing
security@paypaI-alerts.com,Account suspended notice,Validate your mailbox password now or your messages will be deleted today,phishing
security@paypaI-alerts.com,Account suspended notice,Confirm your invoice information and login to prevent a service interruption,phishing
security@paypaI-alerts.com,Security alert on your profile,Urgent action required to verify your password using the secure link below,phishing
security@paypaI-alerts.com,Security alert on your profile,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
security@paypaI-alerts.com,Security alert on your profile,We detected unusual activity and need you to confirm your identity immediately,phishing
security@paypaI-alerts.com,Security alert on your profile,Click the secure portal to avoid permanent account closure and restore service,phishing
security@paypaI-alerts.com,Security alert on your profile,You have won a prize and must verify card details now to receive it,phishing
security@paypaI-alerts.com,Security alert on your profile,Open the attached document and sign in to review the protected file,phishing
security@paypaI-alerts.com,Security alert on your profile,Your payroll record is pending and requires employee credentials for release,phishing
security@paypaI-alerts.com,Security alert on your profile,Update your banking profile now to remove the temporary suspension on your account,phishing
security@paypaI-alerts.com,Security alert on your profile,Validate your mailbox password now or your messages will be deleted today,phishing
security@paypaI-alerts.com,Security alert on your profile,Confirm your invoice information and login to prevent a service interruption,phishing
security@paypaI-alerts.com,Mailbox storage exceeded,Urgent action required to verify your password using the secure link below,phishing
security@paypaI-alerts.com,Mailbox storage exceeded,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
security@paypaI-alerts.com,Mailbox storage exceeded,We detected unusual activity and need you to confirm your identity immediately,phishing
security@paypaI-alerts.com,Mailbox storage exceeded,Click the secure portal to avoid permanent account closure and restore service,phishing
security@paypaI-alerts.com,Mailbox storage exceeded,You have won a prize and must verify card details now to receive it,phishing
security@paypaI-alerts.com,Mailbox storage exceeded,Open the attached document and sign in to review the protected file,phishing
security@paypaI-alerts.com,Mailbox storage exceeded,Your payroll record is pending and requires employee credentials for release,phishing
security@paypaI-alerts.com,Mailbox storage exceeded,Update your banking profile now to remove the temporary suspension on your account,phishing
security@paypaI-alerts.com,Mailbox storage exceeded,Validate your mailbox password now or your messages will be deleted today,phishing
security@paypaI-alerts.com,Mailbox storage exceeded,Confirm your invoice information and login to prevent a service interruption,phishing
security@paypaI-alerts.com,Claim your reward today,Urgent action required to verify your password using the secure link below,phishing
security@paypaI-alerts.com,Claim your reward today,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
security@paypaI-alerts.com,Claim your reward today,We detected unusual activity and need you to confirm your identity immediately,phishing
security@paypaI-alerts.com,Claim your reward today,Click the secure portal to avoid permanent account closure and restore service,phishing
security@paypaI-alerts.com,Claim your reward today,You have won a prize and must verify card details now to receive it,phishing
security@paypaI-alerts.com,Claim your reward today,Open the attached document and sign in to review the protected file,phishing
security@paypaI-alerts.com,Claim your reward today,Your payroll record is pending and requires employee credentials for release,phishing
security@paypaI-alerts.com,Claim your reward today,Update your banking profile now to remove the temporary suspension on your account,phishing
security@paypaI-alerts.com,Claim your reward today,Validate your mailbox password now or your messages will be deleted today,phishing
security@paypaI-alerts.com,Claim your reward today,Confirm your invoice information and login to prevent a service interruption,phishing
security@paypaI-alerts.com,Payroll access verification,Urgent action required to verify your password using the secure link below,phishing
security@paypaI-alerts.com,Payroll access verification,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
security@paypaI-alerts.com,Payroll access verification,We detected unusual activity and need you to confirm your identity immediately,phishing
security@paypaI-alerts.com,Payroll access verification,Click the secure portal to avoid permanent account closure and restore service,phishing
security@paypaI-alerts.com,Payroll access verification,You have won a prize and must verify card details now to receive it,phishing
security@paypaI-alerts.com,Payroll access verification,Open the attached document and sign in to review the protected file,phishing
security@paypaI-alerts.com,Payroll access verification,Your payroll record is pending and requires employee credentials for release,phishing
security@paypaI-alerts.com,Payroll access verification,Update your banking profile now to remove the temporary suspension on your account,phishing
security@paypaI-alerts.com,Payroll access verification,Validate your mailbox password now or your messages will be deleted today,phishing
security@paypaI-alerts.com,Payroll access verification,Confirm your invoice information and login to prevent a service interruption,phishing
security@paypaI-alerts.com,Reset your password immediately,Urgent action required to verify your password using the secure link below,phishing
security@paypaI-alerts.com,Reset your password immediately,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
security@paypaI-alerts.com,Reset your password immediately,We detected unusual activity and need you to confirm your identity immediately,phishing
security@paypaI-alerts.com,Reset your password immediately,Click the secure portal to avoid permanent account closure and restore service,phishing
security@paypaI-alerts.com,Reset your password immediately,You have won a prize and must verify card details now to receive it,phishing
security@paypaI-alerts.com,Reset your password immediately,Open the attached document and sign in to review the protected file,phishing
security@paypaI-alerts.com,Reset your password immediately,Your payroll record is pending and requires employee credentials for release,phishing
security@paypaI-alerts.com,Reset your password immediately,Update your banking profile now to remove the temporary suspension on your account,phishing
security@paypaI-alerts.com,Reset your password immediately,Validate your mailbox password now or your messages will be deleted today,phishing
security@paypaI-alerts.com,Reset your password immediately,Confirm your invoice information and login to prevent a service interruption,phishing
security@paypaI-alerts.com,Unusual sign in attempt detected,Urgent action required to verify your password using the secure link below,phishing
security@paypaI-alerts.com,Unusual sign in attempt detected,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
security@paypaI-alerts.com,Unusual sign in attempt detected,We detected unusual activity and need you to confirm your identity immediately,phishing
security@paypaI-alerts.com,Unusual sign in attempt detected,Click the secure portal to avoid permanent account closure and restore service,phishing
security@paypaI-alerts.com,Unusual sign in attempt detected,You have won a prize and must verify card details now to receive it,phishing
security@paypaI-alerts.com,Unusual sign in attempt detected,Open the attached document and sign in to review the protected file,phishing
security@paypaI-alerts.com,Unusual sign in attempt detected,Your payroll record is pending and requires employee credentials for release,phishing
security@paypaI-alerts.com,Unusual sign in attempt detected,Update your banking profile now to remove the temporary suspension on your account,phishing
security@paypaI-alerts.com,Unusual sign in attempt detected,Validate your mailbox password now or your messages will be deleted today,phishing
security@paypaI-alerts.com,Unusual sign in attempt detected,Confirm your invoice information and login to prevent a service interruption,phishing
security@paypaI-alerts.com,Invoice failed please confirm,Urgent action required to verify your password using the secure link below,phishing
security@paypaI-alerts.com,Invoice failed please confirm,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
security@paypaI-alerts.com,Invoice failed please confirm,We detected unusual activity and need you to confirm your identity immediately,phishing
security@paypaI-alerts.com,Invoice failed please confirm,Click the secure portal to avoid permanent account closure and restore service,phishing
security@paypaI-alerts.com,Invoice failed please confirm,You have won a prize and must verify card details now to receive it,phishing
security@paypaI-alerts.com,Invoice failed please confirm,Open the attached document and sign in to review the protected file,phishing
security@paypaI-alerts.com,Invoice failed please confirm,Your payroll record is pending and requires employee credentials for release,phishing
security@paypaI-alerts.com,Invoice failed please confirm,Update your banking profile now to remove the temporary suspension on your account,phishing
security@paypaI-alerts.com,Invoice failed please confirm,Validate your mailbox password now or your messages will be deleted today,phishing
security@paypaI-alerts.com,Invoice failed please confirm,Confirm your invoice information and login to prevent a service interruption,phishing
security@paypaI-alerts.com,KYC update required today,Urgent action required to verify your password using the secure link below,phishing
security@paypaI-alerts.com,KYC update required today,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
security@paypaI-alerts.com,KYC update required today,We detected unusual activity and need you to confirm your identity immediately,phishing
security@paypaI-alerts.com,KYC update required today,Click the secure portal to avoid permanent account closure and restore service,phishing
security@paypaI-alerts.com,KYC update required today,You have won a prize and must verify card details now to receive it,phishing
security@paypaI-alerts.com,KYC update required today,Open the attached document and sign in to review the protected file,phishing
security@paypaI-alerts.com,KYC update required today,Your payroll record is pending and requires employee credentials for release,phishing
security@paypaI-alerts.com,KYC update required today,Update your banking profile now to remove the temporary suspension on your account,phishing
security@paypaI-alerts.com,KYC update required today,Validate your mailbox password now or your messages will be deleted today,phishing
security@paypaI-alerts.com,KYC update required today,Confirm your invoice information and login to prevent a service interruption,phishing
team@example.com,Weekly project update,Project notes for this week are attached for your review before the meeting,benign
team@example.com,Weekly project update,Please find your interview schedule and venue details for next week,benign
team@example.com,Weekly project update,Highlights from the community this month are included in this newsletter,benign
team@example.com,Weekly project update,Your reimbursement has been processed successfully and will appear shortly,benign
team@example.com,Weekly project update,This is a confirmation that your password was changed from account settings,benign
team@example.com,Weekly project update,Your travel booking receipt is attached for your records and expense filing,benign
team@example.com,Weekly project update,Submit the assignment by Friday evening using the course portal,benign
team@example.com,Weekly project update,Rainfall warning in your district for tomorrow so plan travel accordingly,benign
team@example.com,Weekly project update,Here is your workspace usage summary for the current billing cycle,benign
